events,Event Name,First Event Description,,,,,,,,,,
schedules,12/07/2015 10:00,,,,,,,,,,,
itineraries,speeches & panels,#fa7b65,1,,,,,,,,,
entries,Last Minute Registrations,Last chance!,#,assets/images/speakers/portrait-awc.png,Last chance!,"If you have not yet registered to attend Affiliate World Asia, this is your last chance to purchase tickets. You will not be admitted without a ticket. Note: companies need to have registered before 1 November to be included in the official contact booklet and Market map that will be given to attendees.",8:30,10:00,0,#,#,#
entries,Opening Address,Welcoming Speech,#,assets/images/speakers/portrait-awc.png,Welcoming speech to attendees,An extension of our thanks to our attendees and sponsors. We'll quickly go over any important information and need-to-know stuff to help you make the most of Affiliate World Asia,10:00,10:10,0,#,#,
entries,Tim Tetra,CMO/Co-founder of Tetra Communications,http://www.tetraprmedia.com/,assets/images/speakers/portrait-tim-tetra.png,Presentation by Tim Tetra,Tim Tetra is a serial entrepreneur whose ads reached over 337 million people in 173 countries worldwide in 2014. Tim has integrated lessons learned from founding six successful businesses to create inimitable edges that separate his company from the rest of the affiliate marketing pack.,10:10,10:30,0,#,#,
entries,Speech,Speaker to be announced,#,assets/images/speakers/panel-d.png,Speaker to be announced,#,10:30,10:50,0,#,#,
entries,Mobvista,Diamond Sponsor,http://mobvista.com,assets/images/speakers/portrait-mobvista-2.png,Presentation by Mobvista,Mobvista is a leading global mobile content distribution platform specialising in mobile advertising and game publishing.,10:50,11:10,0,https://www.facebook.com/mobvista.official,https://twitter.com/mobvistainc,
itineraries,market,#6dcff6,1,,,,,,,,,
entries,Market Opens,Enjoy!,#,assets/images/speakers/market2.png,Market opens for the day,"The Market, sponsored by Mobvista, Avazu and Mpire Network, will open and run until early evening. Meet affiliates, foster new business relationships, discover new vendors and make connections that will last for years. This event has two sponsorship opportunites available, contact us for details.",11:00,19:00,0,#,#,
itineraries,speeches & panels,#fa7b65,1,,,,,,,,,
entries,Hugh Hancock,Affiliate Marketer and Founder of Strange Company,http://www.strangecompany.org,assets/images/speakers/portrait-hugh2.png,Presentation by Hugh Hancock,"Hugh has been considered an expert on internet marketing for over 20 years. Currently he uses affiliate marketing to fund his work as a filmmaker, and is Stack That Money Forum's Guardian Of The Guides, curating, writing and updating many of the most influential guides to affiliate marketing on the internet today.",11:10,11:25,0,#,https://twitter.com/hughhancock,
